2026-08-11 12:51:37,524 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-11-01T02%3A00%3A00%2B00%3A00&end=2018-11-13T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:37,736 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-11-13T04%3A00%3A00%2B00%3A00&end=2018-11-25T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:37,974 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-11-25T06%3A00%3A00%2B00%3A00&end=2018-12-07T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:38,193 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-12-07T08%3A00%3A00%2B00%3A00&end=2018-12-19T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:38,451 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-12-19T10%3A00%3A00%2B00%3A00&end=2018-12-31T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:38,661 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2018-12-31T12%3A00%3A00%2B00%3A00&end=2019-01-12T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:38,885 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-01-12T14%3A00%3A00%2B00%3A00&end=2019-01-24T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:39,097 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-01-24T16%3A00%3A00%2B00%3A00&end=2019-02-05T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:39,312 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-02-05T18%3A00%3A00%2B00%3A00&end=2019-02-17T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:39,522 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-02-17T20%3A00%3A00%2B00%3A00&end=2019-03-01T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:39,728 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-03-01T22%3A00%3A00%2B00%3A00&end=2019-03-14T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:39,937 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-03-14T00%3A00%3A00%2B00%3A00&end=2019-03-26T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:40,148 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-03-26T02%3A00%3A00%2B00%3A00&end=2019-04-07T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:40,372 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-04-07T04%3A00%3A00%2B00%3A00&end=2019-04-19T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:40,578 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-04-19T06%3A00%3A00%2B00%3A00&end=2019-05-01T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:40,799 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-05-01T08%3A00%3A00%2B00%3A00&end=2019-05-13T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:41,056 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-05-13T10%3A00%3A00%2B00%3A00&end=2019-05-25T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:41,312 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-05-25T12%3A00%3A00%2B00%3A00&end=2019-06-06T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:41,566 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-06-06T14%3A00%3A00%2B00%3A00&end=2019-06-18T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:41,819 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-06-18T16%3A00%3A00%2B00%3A00&end=2019-06-30T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:42,031 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-06-30T18%3A00%3A00%2B00%3A00&end=2019-07-12T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:42,329 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-07-12T20%3A00%3A00%2B00%3A00&end=2019-07-24T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:42,548 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-07-24T22%3A00%3A00%2B00%3A00&end=2019-08-06T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:42,760 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-08-06T00%3A00%3A00%2B00%3A00&end=2019-08-18T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:42,978 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-08-18T02%3A00%3A00%2B00%3A00&end=2019-08-30T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:43,193 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-08-30T04%3A00%3A00%2B00%3A00&end=2019-09-11T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:43,404 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-09-11T06%3A00%3A00%2B00%3A00&end=2019-09-23T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:43,615 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2019-09-23T08%3A00%3A00%2B00%3A00&end=2019-10-05T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
